,round,team_rank,opponent_team_rank,team_pot,opp_concede_pot,prev_points,form_points,long_form,ict_form,total_points,Predicted,Prediction_Error
20452,3,15,9,1.0,1.2352941176470589,1.0,1.3333333333333333,1.4,3.466666666666668,2,1.2,0.8
2598,3,14,12,1.4375,2.2666666666666666,1.0,1.3333333333333333,2.2,5.000000000000001,1,2.0,1.0
3535,1,2,13,0.5,1.0,6.0,3.6666666666666665,0.0,3.7,1,3.7,2.7
6088,1,14,4,1.6666666666666667,0.5,1.0,1.3333333333333333,1.6,0.8999999999999991,1,1.4,0.3999999999999999
13125,2,18,12,1.3333333333333333,0.7777777777777778,1.0,2.6666666666666665,3.8,4.266666666666668,5,3.1,1.9
20598,1,18,10,1.1666666666666667,1.5,2.0,1.6666666666666667,1.6,2.2666666666666666,1,1.8,0.8
4425,1,9,7,1.5,2.75,2.0,1.6666666666666667,2.4,3.7000000000000015,1,3.0,2.0
1340,1,13,3,1.0,0.0,13.0,0.0,0.0,0.0,2,-5.4,7.4
3459,1,12,17,0.6666666666666666,1.6666666666666667,2.0,3.6666666666666665,0.0,9.833333333333332,4,5.0,1.0
2388,1,7,16,1.0,1.0,0.0,0.0,0.0,0.0,9,1.0,8.0
10040,2,6,16,1.6,1.3,1.0,0.6666666666666666,0.8,1.9999999999999991,1,1.7,0.7
6901,1,16,6,1.0,1.0,2.0,1.6666666666666667,0.0,2.7000000000000006,1,1.4,0.3999999999999999
4782,1,7,20,1.5,3.5,2.0,0.0,0.0,0.0,7,1.9,5.1
6992,1,17,10,0.5,0.3333333333333333,2.0,1.6666666666666667,4.0,3.4999999999999987,2,1.1,0.8999999999999999
2511,2,12,4,0.3333333333333333,1.2,17.0,8.333333333333334,5.8,8.266666666666666,1,4.7,3.7
2751,1,11,1,0.8571428571428571,0.5714285714285714,1.0,1.0,1.2,1.5999999999999994,1,0.7,0.30000000000000004
2604,3,15,10,0.6842105263157895,1.368421052631579,4.0,4.666666666666667,3.6,7.466666666666666,1,4.6,3.5999999999999996
1357,2,7,14,0.6923076923076923,1.1538461538461535,1.0,2.0,2.2,3.6,3,3.0,0.0
5411,2,6,15,1.75,2.5,1.0,1.0,1.0,0.9333333333333336,1,2.8,1.7999999999999998
2740,2,14,17,0.6666666666666666,1.6666666666666667,2.0,1.3333333333333333,1.4,0.30000000000000043,1,1.7,0.7
4168,1,2,9,1.1428571428571428,1.0,6.0,3.333333333333333,4.0,7.166666666666668,2,3.3,1.2999999999999998
4779,2,12,3,0.625,0.7777777777777778,1.0,3.0,3.4,6.466666666666666,1,3.2,2.2
19844,2,11,5,1.1666666666666667,1.5,1.0,1.0,1.0,0.0999999999999998,1,1.3,0.30000000000000004
790,1,17,11,0.6666666666666666,0.8333333333333334,1.0,1.0,1.4,2.0000000000000004,1,0.9,0.09999999999999998
6102,1,9,15,2.0,2.0,7.0,0.0,0.0,0.0,1,-1.0,2.0
16618,1,10,19,1.3333333333333333,3.0,10.0,6.333333333333332,4.6,5.966666666666668,8,7.0,1.0
16609,3,12,15,1.2777777777777777,1.8333333333333333,2.0,1.6666666666666667,1.8,3.8,2,2.1,0.10000000000000009
4776,2,11,14,0.7142857142857143,1.125,1.0,7.0,4.6,9.1,7,9.5,2.5
6370,1,15,1,1.2,0.6,2.0,3.333333333333333,2.8,3.5666666666666664,6,3.4,2.6
16629,2,8,6,0.5555555555555556,1.1111111111111112,17.0,6.666666666666668,4.8,8.933333333333335,1,2.8,1.7999999999999998
6095,1,18,9,1.0,1.8571428571428568,1.0,0.6666666666666666,1.0,2.299999999999999,0,0.9,0.9
8091,2,3,6,1.9166666666666667,0.9090909090909092,1.0,1.3333333333333333,2.2,1.5999999999999992,2,2.3,0.2999999999999998
18557,3,18,11,1.4117647058823528,2.25,2.0,3.0,2.4,4.8,6,3.6,2.4
4426,1,9,11,0.75,1.4,1.0,3.6666666666666665,3.0,4.266666666666668,8,5.4,2.5999999999999996
775,2,14,9,1.2727272727272727,1.7272727272727273,5.0,3.333333333333333,2.8,5.466666666666666,4,3.0,1.0
2390,1,12,6,0.5,1.5,8.0,6.0,0.0,8.233333333333334,1,5.3,4.3
732,1,19,17,0.75,1.75,1.0,1.0,1.0,0.3666666666666663,1,1.6,0.6000000000000001
7502,1,19,7,0.5,2.0,1.0,2.0,1.6,3.433333333333333,1,2.5,1.5
6327,1,15,1,1.2,0.6,2.0,1.6666666666666667,2.4,2.6,1,1.2,0.19999999999999996
14036,2,19,14,0.7777777777777778,1.5555555555555556,1.0,1.3333333333333333,1.6,2.466666666666668,1,1.5,0.5
22615,3,17,18,0.6923076923076923,2.0,1.0,1.0,1.0,2.4666666666666663,1,1.3,0.30000000000000004
7017,1,9,7,0.6,2.0,1.0,1.6666666666666667,3.0,3.1666666666666634,2,2.8,0.7999999999999998
21220,2,18,16,1.4285714285714286,2.5714285714285716,2.0,5.666666666666668,5.6,10.866666666666667,2,7.9,5.9
3579,1,4,9,0.6,2.2,2.0,6.0,6.2,10.266666666666667,7,8.8,1.8000000000000007
5068,1,16,3,1.0,0.6666666666666666,2.0,3.0,2.6,4.466666666666667,2,2.9,0.8999999999999999
22544,2,3,17,1.9166666666666667,2.1666666666666665,11.0,8.333333333333334,0.0,10.566666666666666,13,8.9,4.1
4161,1,2,11,3.0,1.25,12.0,8.333333333333334,6.2,13.800000000000002,7,8.6,1.5999999999999996
5103,3,19,14,1.1428571428571428,1.2142857142857142,1.0,1.0,1.2,0.6999999999999992,1,0.8,0.19999999999999996
5389,3,18,16,1.6428571428571428,2.2142857142857144,2.0,5.0,4.4,7.033333333333334,12,6.7,5.3
6893,3,15,6,0.8823529411764706,1.0625,2.0,1.6666666666666667,1.6,3.533333333333332,2,1.0,1.0
2717,3,19,2,0.6153846153846154,1.0,1.0,1.3333333333333333,1.4,1.2000000000000004,2,0.4,1.6
7277,1,7,15,0.5,2.2,2.0,3.6666666666666665,4.4,7.066666666666666,7,5.7,1.2999999999999998
2475,2,13,2,0.4,1.181818181818182,1.0,2.0,2.2,2.833333333333334,1,2.0,1.0
7627,3,6,10,2.769230769230769,2.1538461538461537,0.0,0.0,0.0,0.0,6,1.4,4.6
6098,3,11,4,1.5384615384615383,1.0,2.0,3.333333333333333,2.4,7.099999999999998,6,3.5,2.5
1381,2,10,17,1.3333333333333333,1.5454545454545454,7.0,4.666666666666667,3.4,8.133333333333331,6,4.6,1.4000000000000004
6830,1,12,10,1.25,0.75,1.0,3.0,4.6,3.233333333333333,2,4.1,2.0999999999999996
12419,2,9,15,1.2857142857142858,1.0,1.0,1.0,1.0,3.3333333333333326,1,1.6,0.6000000000000001
1352,2,7,2,0.7,1.5,1.0,0.6666666666666666,0.8,0.9000000000000011,0,0.8,0.8
4174,2,2,8,2.5,1.4,8.0,5.0,3.8,8.733333333333334,2,5.1,3.0999999999999996
22450,2,14,11,1.5,1.8,0.0,0.0,0.0,0.0,1,0.6,0.4
17732,2,16,14,0.8181818181818182,0.7272727272727273,2.0,3.0,4.4,4.166666666666667,2,3.3,1.2999999999999998
5288,1,4,20,0.5,2.0,1.0,0.0,0.0,0.0,2,1.4,0.6000000000000001
714,2,14,11,1.125,1.2857142857142858,2.0,1.6666666666666667,4.8,2.8666666666666667,1,1.9,0.8999999999999999
13089,2,18,6,1.2222222222222223,0.8888888888888888,2.0,3.0,2.6,3.1,6,2.9,3.1
1917,3,13,19,1.9411764705882355,1.4705882352941178,2.0,4.333333333333333,4.8,5.8,6,6.0,0.0
9972,2,6,19,1.4166666666666667,1.6666666666666667,8.0,3.0,3.2,4.166666666666667,0,2.5,2.5
7924,1,8,20,1.6666666666666667,2.6666666666666665,7.0,3.6666666666666665,0.0,5.933333333333334,2,4.4,2.4000000000000004
18797,2,20,5,0.8571428571428571,0.7142857142857143,2.0,1.3333333333333333,2.4,1.633333333333333,1,0.3,0.7
22624,3,19,1,0.6111111111111112,1.0588235294117647,1.0,1.0,1.0,1.7000000000000002,1,-0.1,1.1
6912,2,14,4,1.875,1.375,7.0,3.0,2.4,3.333333333333334,0,1.6,1.6
789,1,19,4,0.6,0.8,1.0,1.3333333333333333,2.6,3.4666666666666672,1,0.9,0.09999999999999998
6339,2,19,16,1.0,1.25,5.0,2.6666666666666665,3.0,3.6333333333333333,2,1.9,0.10000000000000009
740,2,18,17,1.2,2.1818181818181817,1.0,1.0,1.0,2.8666666666666667,1,1.7,0.7
5293,1,6,1,1.5,0.5,8.0,6.0,9.4,8.233333333333336,8,5.6,2.4000000000000004
10070,1,6,16,1.4285714285714286,1.8571428571428568,12.0,7.666666666666668,5.2,19.166666666666668,9,7.3,1.7000000000000002
17376,1,2,13,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,0.0,2.9,1,2.8,1.7999999999999998
13099,3,20,13,1.2666666666666666,1.3333333333333333,2.0,1.6666666666666667,1.6,5.366666666666667,1,1.2,0.19999999999999996
20936,1,11,16,1.6666666666666667,2.0,0.0,0.0,0.0,0.0,13,1.5,11.5
22756,3,16,7,0.9444444444444444,2.0,2.0,1.6666666666666667,1.8,2.233333333333333,1,1.5,0.5
7002,2,17,18,1.0909090909090908,1.6,1.0,2.0,1.8,3.766666666666666,4,2.9,1.1
5046,1,16,3,1.0,0.6666666666666666,1.0,2.6666666666666665,0.0,2.9333333333333336,0,2.8,2.8
774,2,18,17,1.2,2.1818181818181817,1.0,2.6666666666666665,2.4,5.0,5,4.0,1.0
6095,2,10,17,1.3333333333333333,1.5454545454545454,-2.0,1.3333333333333333,1.6,3.0999999999999983,4,3.5,0.5
6053,1,18,16,1.4,2.0,1.0,1.3333333333333333,1.6,2.566666666666667,1,2.4,1.4
20467,2,17,15,1.0,2.375,1.0,1.0,1.0,0.13333333333333333,1,1.8,0.8
6957,2,16,10,0.6666666666666666,1.0769230769230769,1.0,1.3333333333333333,1.2,2.5000000000000004,1,1.2,0.19999999999999996
20959,3,15,12,0.7857142857142857,2.2,1.0,1.0,2.8,1.5666666666666669,1,1.4,0.3999999999999999
14947,3,2,18,1.8333333333333333,1.2105263157894737,7.0,8.666666666666666,7.0,12.16666666666667,17,10.4,6.6
20214,1,14,9,1.0,0.5,0.0,0.0,0.0,0.0,1,-0.0,1.0
6337,2,19,9,0.9,1.7,6.0,2.6666666666666665,2.4,6.699999999999998,1,1.3,0.30000000000000004
15854,2,13,4,1.3,0.8,1.0,1.3333333333333333,0.0,0.5666666666666668,1,1.2,0.19999999999999996
2581,2,15,9,0.16666666666666666,1.7142857142857142,1.0,1.0,2.0,4.333333333333334,1,1.0,0.0
21858,2,7,10,1.4,1.7,1.0,1.0,0.0,0.3666666666666669,1,1.9,0.8999999999999999
4474,2,17,1,1.3333333333333333,0.8888888888888888,1.0,2.333333333333333,1.8,3.033333333333333,1,2.2,1.2000000000000002
10844,1,15,3,1.0,0.6666666666666666,1.0,1.0,2.2,0.4999999999999994,1,0.7,0.30000000000000004
8893,3,4,1,2.0625,1.0666666666666669,7.0,7.0,6.6,13.300000000000002,8,7.1,0.9000000000000004
6099,2,20,13,1.3333333333333333,2.1111111111111107,2.0,3.0,2.2,6.033333333333332,1,3.7,2.7
6845,2,3,18,1.875,1.5714285714285714,8.0,3.6666666666666665,4.4,10.433333333333335,2,3.6,1.6
7940,2,17,12,1.5454545454545454,2.0,1.0,1.6666666666666667,1.2,3.3000000000000016,2,2.4,0.3999999999999999
21221,2,20,18,1.125,2.25,2.0,2.0,5.8,7.766666666666668,2,2.7,0.7000000000000002
4476,2,17,3,1.7,1.2,1.0,1.0,1.8,0.09999999999999988,1,0.8,0.19999999999999996
5309,2,7,14,2.0,1.9166666666666667,2.0,8.333333333333334,8.2,11.133333333333335,21,12.1,8.9
6829,1,12,6,1.0,1.0,6.0,4.333333333333333,4.6,6.466666666666666,1,3.9,2.9
5310,2,7,16,1.1538461538461535,1.1538461538461535,21.0,8.333333333333334,6.4,10.900000000000004,2,4.3,2.3
1910,3,14,6,1.2857142857142858,0.7857142857142857,1.0,1.3333333333333333,1.4,1.7666666666666675,2,1.0,1.0
21093,2,8,11,1.3076923076923077,2.25,1.0,1.0,1.0,2.5000000000000004,1,2.2,1.2000000000000002
10802,1,16,2,1.6666666666666667,0.3333333333333333,0.0,0.0,0.0,0.0,1,-0.4,1.4
3769,2,1,15,2.5,1.3,16.0,6.333333333333332,5.4,10.499999999999996,2,4.3,2.3
876,1,2,20,2.4,0.6,1.0,5.666666666666668,0.0,4.866666666666666,12,9.0,3.0
22626,3,19,4,0.5789473684210527,0.8421052631578947,1.0,1.0,0.8,2.6666666666666674,1,-0.1,1.1
5320,3,7,1,2.2222222222222223,1.2777777777777777,2.0,3.333333333333333,5.0,8.700000000000001,2,4.0,2.0
3787,3,8,17,1.4615384615384617,1.4615384615384617,1.0,2.333333333333333,1.8,3.066666666666667,5,3.7,1.2999999999999998
8870,1,1,17,3.0,2.0,2.0,9.333333333333334,0.0,13.066666666666668,13,14.2,1.1999999999999993
3114,2,8,9,1.4615384615384617,1.3076923076923077,2.0,1.3333333333333333,1.4,4.6,1,1.6,0.6000000000000001
15750,3,12,9,1.3846153846153846,1.7692307692307692,2.0,6.0,7.2,8.899999999999997,9,7.8,1.2000000000000002
2372,2,9,3,1.7,0.7,6.0,2.6666666666666665,5.0,5.533333333333331,1,1.5,0.5
2409,3,9,15,1.6428571428571428,1.6428571428571428,2.0,1.6666666666666667,1.4,1.366666666666669,2,2.4,0.3999999999999999
15851,2,11,4,1.5,1.25,1.0,0.0,0.0,0.0,2,-0.2,2.2
11579,2,12,17,1.3333333333333333,2.25,4.0,4.333333333333333,4.2,5.533333333333332,7,5.7,1.2999999999999998
2600,3,14,7,0.5882352941176471,2.117647058823529,1.0,1.3333333333333333,1.4,1.1000000000000003,2,1.5,0.5
887,2,4,20,2.4545454545454546,2.272727272727273,15.0,9.333333333333334,7.2,11.566666666666665,5,9.3,4.300000000000001
7939,2,17,19,1.3,2.2,2.0,0.6666666666666666,1.2,3.8333333333333353,1,1.1,0.10000000000000009
5445,2,20,4,0.5,0.3,8.0,3.6666666666666665,2.8,3.1000000000000014,2,0.8,1.2
736,2,14,11,1.125,1.2857142857142858,1.0,1.3333333333333333,2.0,0.9999999999999996,1,1.7,0.7
6319,1,8,15,1.0,1.0,0.0,0.0,0.0,0.0,1,0.9,0.09999999999999998
5057,2,14,19,1.3,1.3,2.0,3.0,3.0,4.333333333333335,5,4.0,1.0
6839,1,4,19,2.0,1.2,1.0,2.333333333333333,5.0,5.033333333333334,5,4.6,0.40000000000000036
5326,1,4,20,0.5,2.0,1.0,0.0,0.0,0.0,1,1.4,0.3999999999999999
5084,2,18,13,1.181818181818182,1.5454545454545454,1.0,0.6666666666666666,1.0,2.933333333333333,1,0.7,0.30000000000000004
7349,1,2,9,1.1428571428571428,1.0,1.0,0.0,0.0,0.0,1,0.7,0.30000000000000004
15012,3,2,10,2.333333333333333,1.6,1.0,1.0,1.0,0.9333333333333343,1,2.3,1.2999999999999998
7976,2,2,18,2.0,0.8,6.0,5.333333333333333,4.2,7.633333333333333,6,6.4,0.40000000000000036
10030,1,7,4,1.0,1.0,2.0,2.0,3.6,3.5666666666666664,2,2.4,0.3999999999999999
6834,1,14,11,1.5,2.0,4.0,2.0,2.0,2.233333333333333,1,2.2,1.2000000000000002
2596,3,13,20,0.6,0.6666666666666666,8.0,3.0,3.8,4.1000000000000005,2,1.1,0.8999999999999999
2741,2,17,3,0.8461538461538461,1.6923076923076923,1.0,1.6666666666666667,1.6,1.066666666666667,2,1.7,0.30000000000000004
12458,2,12,9,1.125,1.75,2.0,2.333333333333333,2.0,2.833333333333334,1,3.0,2.0
11605,1,10,7,1.7142857142857142,2.0,2.0,6.0,4.4,11.833333333333336,9,8.4,0.5999999999999996
2366,1,16,10,0.7142857142857143,1.125,1.0,3.6666666666666665,3.0,5.233333333333332,5,4.7,0.2999999999999998
9962,1,6,16,1.4285714285714286,1.8571428571428568,0.0,3.6666666666666665,2.6,5.666666666666668,1,6.6,5.6
2745,1,2,17,1.0,1.0,12.0,0.0,0.0,0.0,1,-3.1,4.1
15009,2,3,5,1.5384615384615383,0.75,1.0,1.0,1.0,0.033333333333334436,1,1.5,0.5
1363,1,4,13,2.0,1.3333333333333333,2.0,2.6666666666666665,0.0,2.9333333333333336,2,4.3,2.3
3435,1,7,9,1.75,1.0,2.0,1.6666666666666667,3.8,5.133333333333331,1,2.4,1.4
5820,1,9,10,1.0,1.5,1.0,1.3333333333333333,0.0,13.066666666666668,2,1.9,0.10000000000000009
6904,1,12,10,1.25,0.75,1.0,1.3333333333333333,1.4,2.400000000000001,1,1.8,0.8
6089,1,8,14,1.0,2.2,2.0,3.0,3.0,5.966666666666665,1,4.8,3.8
6911,2,16,18,0.8571428571428571,0.7142857142857143,2.0,3.6666666666666665,2.8,3.8666666666666667,7,4.3,2.7
6840,1,4,2,1.5,2.0,5.0,4.666666666666667,6.4,8.066666666666668,8,5.7,2.3
2492,1,18,6,0.0,0.0,0.0,0.0,0.0,0.0,2,-1.0,3.0
6340,2,19,9,0.5833333333333334,1.3333333333333333,2.0,3.0,3.2,5.433333333333333,2,3.0,1.0
15738,2,11,7,1.4285714285714286,2.2857142857142856,2.0,3.6666666666666665,3.0,6.93333333333333,4,5.0,1.0
6074,3,18,14,1.6666666666666667,1.8666666666666667,2.0,3.0,2.2,3.1666666666666665,2,3.7,1.7000000000000002
3593,2,1,4,2.0,1.4166666666666667,0.0,4.666666666666667,4.4,6.5,8,7.4,0.5999999999999996
6831,1,14,6,2.0,0.0,0.0,0.0,0.0,0.0,10,-0.2,10.2
1374,2,8,6,1.25,1.0,2.0,3.0,3.8,5.166666666666665,1,3.6,2.6
721,2,13,6,1.3333333333333333,1.5,6.0,6.666666666666668,5.8,10.0,12,7.0,5.0
3538,1,8,3,1.0,2.333333333333333,1.0,1.0,2.6,1.1333333333333335,1,2.1,1.1
20356,1,18,16,0.75,1.0,1.0,1.0,0.0,3.266666666666667,1,1.1,0.10000000000000009
5443,2,20,9,0.5555555555555556,1.4444444444444444,2.0,1.3333333333333333,1.6,3.4333333333333336,1,0.7,0.30000000000000004
18545,2,17,4,1.0909090909090908,0.8,2.0,5.333333333333333,4.4,7.666666666666668,13,5.9,7.1
17385,2,8,6,1.2857142857142858,1.2857142857142858,1.0,1.0,1.0,1.8999999999999997,1,1.4,0.3999999999999999
6378,2,19,14,0.5,1.9,1.0,1.0,1.4,2.7333333333333343,1,1.2,0.19999999999999996
15783,2,14,12,1.3636363636363635,1.2727272727272727,1.0,1.3333333333333333,1.6,1.1333333333333322,1,1.8,0.8
6994,1,15,18,1.6666666666666667,0.25,5.0,3.0,2.4,5.333333333333333,2,2.6,0.6000000000000001
1074,1,8,19,0.8333333333333334,1.6666666666666667,9.0,4.0,5.0,3.666666666666666,1,3.6,2.6
3432,1,8,2,1.5,0.5,12.0,5.333333333333333,0.0,8.766666666666664,2,2.7,0.7000000000000002
19529,3,14,7,1.1764705882352942,1.5882352941176472,1.0,1.3333333333333333,1.2,3.766666666666667,2,1.4,0.6000000000000001
6894,3,11,8,0.8888888888888888,1.5789473684210529,2.0,1.6666666666666667,1.6,1.8666666666666656,1,1.7,0.7
4490,3,12,3,1.5294117647058822,0.9411764705882352,1.0,1.0,1.0,0.5999999999999998,1,0.7,0.30000000000000004
15777,2,11,4,1.5,1.25,1.0,1.3333333333333333,1.6,2.366666666666666,2,1.6,0.3999999999999999
930,3,6,4,2.0,1.3333333333333333,2.0,3.333333333333333,2.4,3.733333333333334,2,4.3,2.3
10031,1,8,14,1.6,1.0,2.0,2.0,2.8,4.433333333333334,2,3.0,1.0
2395,1,16,14,0.5,1.0,1.0,3.6666666666666665,2.8,4.633333333333336,9,4.8,4.2
16634,2,8,20,1.3333333333333333,1.6363636363636365,2.0,3.0,2.4,7.4333333333333345,2,4.5,2.5
5308,2,7,9,1.25,1.6666666666666667,2.0,3.0,4.4,4.1000000000000005,2,4.2,2.2
6842,1,3,6,2.142857142857143,0.2857142857142857,9.0,6.333333333333332,5.0,8.666666666666666,2,6.0,4.0
3434,1,5,17,2.0,1.6666666666666667,2.0,2.0,4.0,6.066666666666664,2,3.8,1.7999999999999998
20232,2,20,4,1.2727272727272727,1.2727272727272727,1.0,1.0,0.0,2.533333333333333,1,0.5,0.5
8886,2,5,3,1.9090909090909087,0.9090909090909092,2.0,3.6666666666666665,2.4,6.7,2,4.6,2.5999999999999996
361,2,3,19,2.0,1.375,7.0,3.333333333333333,4.4,4.666666666666665,2,3.6,1.6
6670,1,18,5,1.2,2.6666666666666665,1.0,2.333333333333333,1.8,3.0,1,3.5,2.5
4442,3,16,14,1.0,1.4615384615384617,2.0,2.6666666666666665,4.4,4.6,5,3.0,2.0
1773,2,3,12,1.6,1.3,1.0,1.0,3.2,0.5333333333333334,1,2.3,1.2999999999999998
2735,2,11,13,0.8,1.3636363636363635,13.0,9.0,6.0,7.366666666666666,9,7.9,1.0999999999999996
6333,2,17,19,0.5,1.25,2.0,2.0,2.6,5.2,2,2.2,0.20000000000000018
3061,1,15,1,1.5,2.5,2.0,5.666666666666668,0.0,7.666666666666668,2,7.5,5.5
10035,2,6,8,1.2857142857142858,2.2857142857142856,2.0,1.6666666666666667,1.8,3.4999999999999987,1,2.7,1.7000000000000002
1891,1,11,16,2.75,1.75,1.0,1.0,0.0,0.10000000000000002,1,2.7,1.7000000000000002
1790,2,11,18,1.181818181818182,0.8181818181818182,6.0,3.0,2.2,4.3,1,2.4,1.4
1765,1,12,10,2.0,2.0,1.0,0.0,0.0,0.0,-1,0.8,1.8
8866,1,1,17,4.0,4.0,9.0,0.0,0.0,0.0,13,0.6,12.4
5382,2,18,11,1.6363636363636365,1.5454545454545454,0.0,0.0,0.0,0.0,1,0.3,0.7
5064,1,16,7,0.0,0.0,0.0,0.0,0.0,0.0,2,-0.8,2.8
381,2,6,3,2.4545454545454546,0.8181818181818182,1.0,1.0,1.0,0.4666666666666672,1,1.6,0.6000000000000001
3576,1,7,15,0.75,0.75,1.0,6.333333333333332,7.2,11.466666666666667,12,9.0,3.0
2371,2,9,20,1.8888888888888888,1.2222222222222223,1.0,4.0,5.2,4.8666666666666645,6,6.3,0.2999999999999998
5300,2,9,7,1.125,2.0,1.0,4.666666666666667,3.6,5.766666666666667,12,6.7,5.3
20488,3,19,4,0.5789473684210527,0.8421052631578947,8.0,3.333333333333333,2.4,6.366666666666667,2,0.4,1.6
