,round,team_rank,opponent_team_rank,opp_pot,concede_pot,prev_points,form_points,save_form,ict_form,total_points,Predicted,Prediction_Error,player_id,name
999,33,13,16,0.6470588235294118,1.4117647058823528,1.0,3.6666666666666665,2.6666666666666665,2.900000000000001,3,5.0,2.0,54,Ryan
1708,33,5,14,1.25,0.8823529411764706,2.0,2.0,1.0,0.8333333333333334,2,3.3,1.2999999999999998,94,Courtois
2129,33,17,11,1.4705882352941178,1.5882352941176472,2.0,3.333333333333333,3.0,1.5666666666666664,2,4.1,2.0999999999999996,115,Hennessey
2496,33,9,3,2.176470588235294,1.2352941176470589,1.0,4.666666666666667,2.6666666666666665,1.4666666666666668,10,5.4,4.6,135,Pickford
2900,33,16,13,1.2941176470588236,1.8823529411764703,2.0,1.6666666666666667,3.0,2.533333333333333,1,2.0,1.0,163,L̦ssl
3317,33,8,10,1.0625,1.1875,15.0,6.0,2.0,1.733333333333334,1,2.5,1.5,189,Schmeichel
3750,33,3,9,1.5294117647058822,1.4705882352941178,1.0,4.333333333333333,1.3333333333333333,0.8666666666666659,6,5.6,0.40000000000000036,214,Karius
4181,33,1,2,1.75,0.8125,2.0,3.333333333333333,1.0,1.0,1,4.1,3.0999999999999996,240,Santana de Moraes
4571,33,2,1,3.3125,1.125,6.0,3.333333333333333,2.6666666666666665,2.266666666666666,2,1.1,0.8999999999999999,260,de Gea
5306,33,18,6,2.647058823529412,1.8125,1.0,1.3333333333333333,2.6666666666666665,1.8666666666666665,2,1.4,0.6000000000000001,305,McCarthy
5741,33,19,4,1.9411764705882355,1.5882352941176472,3.0,2.333333333333333,5.333333333333333,3.899999999999999,1,1.3,0.30000000000000004,328,Butland
6088,33,15,20,1.0588235294117647,1.5294117647058822,2.0,4.333333333333333,3.0,2.2999999999999985,2,5.3,3.3,350,Fabianski
6512,33,4,19,1.0588235294117647,1.0588235294117647,3.0,2.6666666666666665,2.6666666666666665,1.9000000000000008,3,3.3,0.2999999999999998,375,Lloris
7285,33,20,15,0.6470588235294118,1.5882352941176472,1.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,2,3.5,1.5,421,Foster
8063,33,7,12,1.4705882352941178,0.9411764705882352,1.0,4.333333333333333,3.333333333333333,2.633333333333335,3,5.3,2.3,469,Pope
8209,33,14,5,1.6470588235294117,2.3125,6.0,3.333333333333333,2.0,1.3666666666666665,3,2.2,0.7999999999999998,479,Hart
8834,33,12,7,1.1176470588235294,1.7647058823529411,2.0,1.3333333333333333,3.6666666666666665,2.266666666666667,1,1.7,0.7,536,Karnezis
9109,33,10,8,1.375,1.625,6.0,4.666666666666667,0.6666666666666666,0.6333333333333334,2,4.4,2.4000000000000004,621,Dubravka
33,33,6,10,1.0588235294117647,1.625,2.0,6.0,3.6666666666666665,3.3000000000000016,1,6.4,5.4,2,Cech
