player_id,name,pos,Predicted,total_points,Prediction_Error,round,concede_pot,opp_pot,team_rank,opponent_team_rank,form_points,ict_form,save_form,prev_points,long_form,team_pot,opp_concede_pot
54,Ryan,Goalkeeper,3.8,7,3.2,30,1.266666667,1.666666667,11,9,4.333333333,3.066666667,3.333333333,4,0,0,0
94,Courtois,Goalkeeper,3.5,2,1.5,30,0.7333333333,0.6666666667,5,18,2,1.533333333,1.666666667,2,0,0,0
115,Hennessey,Goalkeeper,2.5,3,0.5,30,1.666666667,1.733333333,18,5,2.666666667,3.033333333,5,2,0,0,0
135,Pickford,Goalkeeper,4.6,7,2.4,30,1.2,0.4666666667,9,11,4.333333333,3.566666667,4.666666667,3,0,0,0
163,Lössl,Goalkeeper,4.8,6,1.2,30,1.333333333,0.6666666667,15,14,3.333333333,1.433333333,2.333333333,2,0,0,0
189,Schmeichel,Goalkeeper,3.3,2,1.3,30,1.733333333,1.066666667,8,20,1.666666667,0.7666666667,1.333333333,1,0,0,0
214,Karius,Goalkeeper,2,1,1,30,1.6,2.2,4,2,4,1.333333333,1.666666667,8,0,0,0
240,Santana de Moraes,Goalkeeper,9.5,7,2.5,30,0.6666666667,1.066666667,1,19,9.333333333,2.2,2,6,0,0,0
260,de Gea,Goalkeeper,2.7,2,0.7,30,0.4666666667,2.333333333,2,4,2.333333333,2.3,3.333333333,1,0,0,0
305,McCarthy,Goalkeeper,2.6,1,1.6,30,1.642857143,1,17,13,3.333333333,1.733333333,2.333333333,7,0,0,0
328,Butland,Goalkeeper,2.6,2,0.6,30,1.533333333,2.266666667,19,1,6.333333333,3.866666667,6.333333333,11,0,0,0
350,Fabianski,Goalkeeper,4.5,9,4.5,30,1.533333333,1,14,15,3.666666667,2.366666667,2,2,0,0,0
375,Lloris,Goalkeeper,4.4,2,2.4,30,1.066666667,1.4,3,12,5.333333333,2.1,2.666666667,7,0,0,0
421,Foster,Goalkeeper,1.9,1,0.9,30,1.6,1.6,20,8,1.666666667,2.466666667,3.333333333,2,0,0,0
469,Pope,Goalkeeper,5.2,9,3.8,30,0.9333333333,1.142857143,7,16,5,3.366666667,3.666666667,3,0,0,0
479,Hart,Goalkeeper,2.9,1,1.9,30,1.428571429,1,16,7,2.666666667,1,1,5,0,0,0
536,Karnezis,Goalkeeper,3.5,2,1.5,30,1.6,2.6,10,6,5.666666667,1.966666667,3,8,0,0,0
621,Dubravka,Goalkeeper,4.8,6,1.2,30,1,0.9285714286,13,17,3,1.533333333,2,1,0,0,0
29,Begovic,Goalkeeper,3.7,3,0.7,30,1.625,0.5,10,20,2.333333333,2.433333333,3.666666667,1,0,0,0
115,Hennessey,Goalkeeper,4.2,6,1.8,30,1.5625,0.9375,16,15,3.666666667,2.466666667,4.333333333,3,0,0,0
135,Pickford,Goalkeeper,2.8,3,0.2,31,2,1.0625,9,19,4.333333333,3.166666667,4.333333333,7,0,0,0
163,Lössl,Goalkeeper,3.1,2,1.1,31,1.375,0.75,15,16,3.333333333,2,2.666666667,6,0,0,0
214,Karius,Goalkeeper,7,6,1,31,0.625,1.0625,3,11,5,0.9666666667,1,1,0,0,0
328,Butland,Goalkeeper,5.9,3,2.9,31,1.5625,0.75,19,9,5.333333333,3.5,5.333333333,2,0,0,0
421,Foster,Goalkeeper,2.6,2,0.6,31,1.5625,1.4375,20,10,1.666666667,2.133333333,2.666666667,1,0,0,0
536,Karnezis,Goalkeeper,3.2,1,2.2,31,1.8125,2.375,11,3,3.666666667,2.633333333,3.666666667,2,0,0,0
1,Ospina,Goalkeeper,2.2,6,3.8,31,1.0625,0.75,6,19,0,0,0,1,0,0,0
54,Ryan,Goalkeeper,2.1,1,1.1,32,1.4375,1.625,13,8,4,3.6,3.333333333,7,0,0,0
96,Caballero,Goalkeeper,-0.9,2,2.9,32,0.875,1.9375,5,4,0,0,0,7,0,0,0
115,Hennessey,Goalkeeper,2,2,0,32,1.5625,2.3125,17,3,3.666666667,2.5,4.333333333,6,0,0,0
135,Pickford,Goalkeeper,3.4,1,2.4,32,1.3125,2.3125,9,1,3.666666667,1.666666667,2.666666667,3,0,0,0
163,Lössl,Goalkeeper,4.4,2,2.4,32,1.9375,1,16,12,3.333333333,1.366666667,1.666666667,2,0,0,0
189,Schmeichel,Goalkeeper,6.9,15,8.1,32,1.625,1.3125,8,13,6,1.9,2,2,0,0,0
214,Karius,Goalkeeper,2.4,1,1.4,32,1.5625,1.1875,3,17,2.666666667,0.7333333333,1,6,0,0,0
240,Santana de Moraes,Goalkeeper,4.5,2,2.5,32,0.6875,1.625,1,9,5,0.8333333333,0.6666666667,7,0,0,0
260,de Gea,Goalkeeper,4.6,6,1.4,32,0.4375,0.625,2,15,3,1.7,2,2,0,0,0
305,McCarthy,Goalkeeper,4.3,1,3.3,32,1.733333333,1.266666667,18,14,3,1.7,2.333333333,1,0,0,0
328,Butland,Goalkeeper,1,3,2,32,2.25,2.625,19,6,2.666666667,4.1,6,3,0,0,0
350,Fabianski,Goalkeeper,1.9,2,0.1,32,1.5625,2.1875,15,2,4.333333333,2.1,2.666666667,9,0,0,0
375,Lloris,Goalkeeper,4.4,3,1.4,32,1.0625,1.6875,4,5,4,2,2.666666667,2,0,0,0
421,Foster,Goalkeeper,2.1,1,1.1,32,1.625,1.0625,20,7,1.333333333,2,2.666666667,2,0,0,0
469,Pope,Goalkeeper,2.9,1,1.9,32,0.9375,1.0625,7,20,4.333333333,2.5,3,9,0,0,0
479,Hart,Goalkeeper,6.1,6,0.1,32,1.333333333,0.8666666667,14,18,4,0.8666666667,0.6666666667,1,0,0,0
536,Karnezis,Goalkeeper,2.2,2,0.2,32,1.75,1,11,10,1.666666667,2.966666667,4.333333333,1,0,0,0
621,Dubravka,Goalkeeper,4.9,6,1.1,32,0.9375,0.625,12,16,4.333333333,0.9333333333,1,6,0,0,0
2,Cech,Goalkeeper,2.3,2,0.3,32,1.117647059,0.9375,6,18,6.333333333,3.533333333,4.333333333,15,0,0,0
54,Ryan,Goalkeeper,5,3,2,33,1.411764706,0.6470588235,13,16,3.666666667,2.9,2.666666667,1,0,0,0
94,Courtois,Goalkeeper,3.3,2,1.3,33,0.8823529412,1.25,5,14,2,0.8333333333,1,2,0,0,0
115,Hennessey,Goalkeeper,4.1,2,2.1,33,1.588235294,1.470588235,17,11,3.333333333,1.566666667,3,2,0,0,0
135,Pickford,Goalkeeper,5.4,10,4.6,33,1.235294118,2.176470588,9,3,4.666666667,1.466666667,2.666666667,1,0,0,0
163,Lössl,Goalkeeper,2,1,1,33,1.882352941,1.294117647,16,13,1.666666667,2.533333333,3,2,0,0,0
189,Schmeichel,Goalkeeper,2.5,1,1.5,33,1.1875,1.0625,8,10,6,1.733333333,2,15,0,0,0
214,Karius,Goalkeeper,5.6,6,0.4,33,1.470588235,1.529411765,3,9,4.333333333,0.8666666667,1.333333333,1,0,0,0
240,Santana de Moraes,Goalkeeper,4.1,1,3.1,33,0.8125,1.75,1,2,3.333333333,1,1,2,0,0,0
260,de Gea,Goalkeeper,1.1,2,0.9,33,1.125,3.3125,2,1,3.333333333,2.266666667,2.666666667,6,0,0,0
305,McCarthy,Goalkeeper,1.4,2,0.6,33,1.8125,2.647058824,18,6,1.333333333,1.866666667,2.666666667,1,0,0,0
328,Butland,Goalkeeper,1.3,1,0.3,33,1.588235294,1.941176471,19,4,2.333333333,3.9,5.333333333,3,0,0,0
350,Fabianski,Goalkeeper,5.3,2,3.3,33,1.529411765,1.058823529,15,20,4.333333333,2.3,3,2,0,0,0
375,Lloris,Goalkeeper,3.3,3,0.3,33,1.058823529,1.058823529,4,19,2.666666667,1.9,2.666666667,3,0,0,0
421,Foster,Goalkeeper,3.5,2,1.5,33,1.588235294,0.6470588235,20,15,1.666666667,1.333333333,1.666666667,1,0,0,0
469,Pope,Goalkeeper,5.3,3,2.3,33,0.9411764706,1.470588235,7,12,4.333333333,2.633333333,3.333333333,1,0,0,0
479,Hart,Goalkeeper,2.2,3,0.8,33,2.3125,1.647058824,14,5,3.333333333,1.366666667,2,6,0,0,0
536,Karnezis,Goalkeeper,1.7,1,0.7,33,1.764705882,1.117647059,12,7,1.333333333,2.266666667,3.666666667,2,0,0,0
621,Dubravka,Goalkeeper,4.4,2,2.4,33,1.625,1.375,10,8,4.666666667,0.6333333333,0.6666666667,6,0,0,0
2,Cech,Goalkeeper,6.4,1,5.4,33,1.625,1.058823529,6,10,6,3.3,3.666666667,2,0,0,0
54,Ryan,Goalkeeper,2.2,2,0.2,34,1.375,1.294117647,13,16,2,2.366666667,3.333333333,3,0,0,0
94,Courtois,Goalkeeper,3,2,1,34,1.125,1.058823529,5,18,2,1.766666667,2.333333333,2,0,0,0
115,Hennessey,Goalkeeper,2.5,0,2.5,34,1.588235294,0.5625,16,13,1.333333333,1.5,2.666666667,2,0,0,0
135,Pickford,Goalkeeper,3,4,1,34,1.941176471,1,9,17,5,1.933333333,3,10,0,0,0
163,Lössl,Goalkeeper,4.6,7,2.4,34,1.294117647,1,14,12,3.333333333,2.233333333,2.666666667,1,0,0,0
189,Schmeichel,Goalkeeper,7,1,6,34,1.647058824,0.875,8,7,5.666666667,1.833333333,2,1,0,0,0
190,Hamer,Goalkeeper,2,1,1,34,1.647058824,0.875,8,7,0,0,0,0,0,0,0
214,Karius,Goalkeeper,4.5,6,1.5,34,0.5882352941,0.9411764706,3,11,4.333333333,0.9,1.333333333,6,0,0,0
240,Santana de Moraes,Goalkeeper,2.4,2,0.4,34,0.7058823529,2.066666667,1,4,1.666666667,1.3,1.333333333,1,0,0,0
260,de Gea,Goalkeeper,4.9,3,1.9,34,0.4705882353,0.5294117647,2,20,3.666666667,2.7,3,2,0,0,0
305,McCarthy,Goalkeeper,1.6,1,0.6,34,1.411764706,1.8125,18,5,1.333333333,1.9,2.666666667,2,0,0,0
350,Fabianski,Goalkeeper,3.3,3,0.3,34,1.25,0.7647058824,17,9,2.333333333,2.1,2.666666667,2,0,0,0
375,Lloris,Goalkeeper,2,1,1,34,0.7333333333,2.352941176,4,1,2.333333333,1.733333333,3,3,0,0,0
421,Foster,Goalkeeper,4.4,9,4.6,34,1.470588235,2.058823529,20,2,4,1.7,2,2,0,0,0
469,Pope,Goalkeeper,2.4,4,1.6,34,0.8125,1.588235294,7,8,2.666666667,3.066666667,3.666666667,3,0,0,0
536,Karnezis,Goalkeeper,3.1,2,1.1,34,1.764705882,0.9411764706,12,14,1.666666667,1.166666667,2,1,0,0,0
621,Dubravka,Goalkeeper,4.9,2,2.9,34,0.9411764706,1.0625,10,6,3.333333333,0.5666666667,0.6666666667,2,0,0,0